"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2023","412.13","411.95","412.43","409.97","70.16M","-0.17%"
"05/10/2023","412.85","413.88","414.54","408.87","96.14M","0.47%"
"05/09/2023","410.93","411.13","412.09","410.69","49.22M","-0.44%"
"05/08/2023","412.74","412.97","413.24","411.28","50.05M","0.03%"
"05/05/2023","412.63","408.91","413.72","408.64","87.89M","1.85%"
"05/04/2023","405.13","406.93","407.27","403.74","94.90M","-0.71%"
"05/03/2023","408.02","411.36","413.87","407.77","91.53M","-0.69%"
"05/02/2023","410.84","414.77","414.82","407.82","104.00M","-1.12%"
"05/01/2023","415.51","415.47","417.62","415.27","62.12M","-0.10%"
"04/28/2023","415.93","411.49","415.94","411.43","89.43M","0.85%"
"04/27/2023","412.41","407.00","412.69","406.74","92.97M","1.99%"
"04/26/2023","404.36","406.72","407.84","403.78","80.45M","-0.42%"
"04/25/2023","406.08","410.58","411.16","406.02","97.77M","-1.59%"
"04/24/2023","412.63","411.99","413.07","410.60","64.33M","0.10%"
"04/21/2023","412.20","412.19","412.68","410.17","73.46M","0.08%"
"04/20/2023","411.88","411.21","413.70","410.27","75.84M","-0.55%"
"04/19/2023","414.14","412.22","415.08","412.16","55.23M","-0.02%"
"04/18/2023","414.21","415.58","415.72","412.78","63.56M","0.07%"
"04/17/2023","413.94","412.37","413.96","411.08","66.44M","0.36%"
"04/14/2023","412.46","412.81","415.09","410.06","78.16M","-0.24%"
"04/13/2023","413.47","409.18","413.84","407.99","85.81M","1.33%"
"04/12/2023","408.05","411.87","412.17","407.44","86.42M","-0.41%"
"04/11/2023","409.72","410.26","411.18","408.92","59.30M","0.03%"
"04/10/2023","409.61","406.61","409.69","405.97","63.68M","0.10%"
"04/06/2023","409.19","406.77","409.48","405.68","63.74M","0.39%"
"04/05/2023","407.60","407.91","408.70","405.88","65.20M","-0.26%"
"04/04/2023","408.67","411.62","411.92","407.24","66.60M","-0.55%"
"04/03/2023","410.95","408.85","411.37","408.44","67.39M","0.38%"
"03/31/2023","409.39","404.66","409.70","404.55","112.06M","1.41%"
"03/30/2023","403.70","404.09","404.35","401.76","69.84M","0.59%"
"03/29/2023","401.35","399.92","401.60","398.68","77.50M","1.45%"
"03/28/2023","395.60","395.77","396.49","393.69","62.87M","-0.22%"
"03/27/2023","396.49","398.12","398.92","395.56","74.01M","0.19%"
"03/24/2023","395.75","391.84","395.84","389.40","107.77M","0.66%"
"03/23/2023","393.17","395.09","399.29","390.35","119.35M","0.27%"
"03/22/2023","392.11","398.73","402.49","392.07","111.75M","-1.70%"
"03/21/2023","398.91","397.24","399.41","395.58","91.52M","1.31%"
"03/20/2023","393.74","390.80","394.17","390.07","93.06M","0.96%"
"03/17/2023","389.99","393.22","394.40","388.55","140.55M","-1.55%"
"03/16/2023","396.11","386.82","396.47","386.29","143.75M","1.75%"
"03/15/2023","389.28","385.89","389.49","383.71","173.00M","-0.63%"
"03/14/2023","391.73","390.50","393.45","387.05","149.75M","1.65%"
"03/13/2023","385.36","381.81","390.39","380.65","157.79M","-0.14%"
"03/10/2023","385.91","390.99","393.16","384.32","189.25M","-1.44%"
"03/09/2023","391.56","399.74","401.48","390.53","111.95M","-1.84%"
"03/08/2023","398.92","398.39","399.71","396.59","74.75M","0.16%"
"03/07/2023","398.27","404.42","404.67","397.63","108.31M","-1.53%"
"03/06/2023","404.47","405.05","407.45","404.01","72.80M","0.07%"
"03/03/2023","404.19","399.71","404.45","399.03","90.12M","1.60%"
"03/02/2023","397.81","392.68","398.69","392.33","85.40M","0.78%"
"03/01/2023","394.74","395.41","396.69","393.38","99.71M","-0.38%"
"02/28/2023","396.26","397.23","399.28","396.15","96.44M","-0.37%"
"02/27/2023","397.73","399.87","401.29","396.75","80.44M","0.34%"
"02/24/2023","396.38","395.42","397.25","393.64","108.19M","-1.07%"
"02/23/2023","400.66","401.56","402.20","396.25","96.24M","0.53%"
"02/22/2023","398.54","399.52","401.13","397.02","83.74M","-0.14%"
"02/21/2023","399.09","403.06","404.16","398.82","82.66M","-2.01%"
"02/17/2023","407.26","406.06","407.51","404.05","89.26M","-0.25%"
"02/16/2023","408.28","408.79","412.91","408.14","76.43M","-1.38%"
"02/15/2023","413.98","410.35","414.06","409.47","61.69M","0.32%"
"02/14/2023","412.64","411.24","415.05","408.51","88.39M","-0.05%"
"02/13/2023","412.83","408.72","412.97","408.24","64.91M","1.17%"
"02/10/2023","408.04","405.86","408.44","405.01","70.77M","0.23%"
"02/09/2023","407.09","414.41","414.57","405.81","78.69M","-0.87%"
"02/08/2023","410.65","413.13","414.53","409.93","76.23M","-1.09%"
"02/07/2023","415.19","408.87","416.49","407.57","90.99M","1.31%"
"02/06/2023","409.83","409.79","411.29","408.10","60.30M","-0.61%"
"02/03/2023","412.35","411.59","416.97","411.09","94.74M","-1.06%"
"02/02/2023","416.78","414.86","418.31","412.88","101.65M","1.46%"
"02/01/2023","410.80","405.21","413.67","402.35","101.46M","1.06%"
"01/31/2023","406.48","401.13","406.53","400.77","86.81M","1.47%"
"01/30/2023","400.59","402.80","405.13","400.28","74.20M","-1.25%"
"01/27/2023","405.68","403.65","408.16","403.44","68.35M","0.23%"
"01/26/2023","404.75","403.13","404.92","400.03","72.29M","1.10%"
"01/25/2023","400.35","395.95","400.70","393.56","84.80M","0.04%"
"01/24/2023","400.20","398.88","401.15","397.64","59.52M","-0.11%"
"01/23/2023","400.63","396.72","402.64","395.72","84.18M","1.20%"
"01/20/2023","395.88","390.10","396.04","388.38","91.81M","1.86%"
"01/19/2023","388.64","389.36","391.08","387.26","86.96M","-0.73%"
"01/18/2023","391.49","399.01","400.12","391.28","99.63M","-1.58%"
"01/17/2023","397.77","398.48","400.23","397.06","62.68M","-0.18%"
"01/13/2023","398.50","393.62","399.10","393.34","63.90M","0.39%"
"01/12/2023","396.96","396.67","398.48","392.42","90.16M","0.36%"
"01/11/2023","395.52","392.23","395.60","391.38","68.88M","1.26%"
"01/10/2023","390.58","387.25","390.65","386.27","65.36M","0.70%"
"01/09/2023","387.86","390.37","393.70","387.67","73.98M","-0.06%"
"01/06/2023","388.08","382.61","389.25","379.41","104.19M","2.29%"
"01/05/2023","379.38","381.72","381.84","378.76","76.97M","-1.14%"
"01/04/2023","383.76","383.18","385.88","380.00","85.93M","0.77%"
"01/03/2023","380.82","384.37","386.43","377.83","74.85M","-0.42%"
