"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2022","449.59","445.86","450.58","445.86","74.65M","1.17%"
"03/21/2022","444.39","444.34","446.46","440.68","88.35M","-0.03%"
"03/18/2022","444.52","438.00","444.86","437.22","106.35M","0.78%"
"03/17/2022","441.07","433.59","441.07","433.19","102.68M","1.25%"
"03/16/2022","435.62","429.89","435.68","424.80","144.95M","2.22%"
"03/15/2022","426.17","419.77","426.84","418.42","106.22M","2.20%"
"03/14/2022","417.00","420.89","424.55","415.79","95.73M","-0.73%"
"03/11/2022","420.07","428.12","428.77","419.53","95.64M","-1.27%"
"03/10/2022","425.48","422.52","426.43","420.44","93.97M","-0.45%"
"03/09/2022","427.41","425.14","429.51","422.82","116.99M","2.68%"
"03/08/2022","416.25","419.62","427.21","415.12","164.77M","-0.76%"
"03/07/2022","419.43","431.55","432.30","419.36","137.90M","-2.95%"
"03/04/2022","432.17","431.75","433.37","427.88","114.08M","-0.81%"
"03/03/2022","435.71","440.47","441.11","433.80","105.50M","-0.50%"
"03/02/2022","437.89","432.37","439.72","431.57","117.73M","1.84%"
"03/01/2022","429.98","435.04","437.17","427.11","137.79M","-1.52%"
"02/28/2022","436.63","432.03","438.20","430.70","145.62M","-0.26%"
"02/25/2022","437.75","429.61","437.84","427.86","121.80M","2.21%"
"02/24/2022","428.30","411.02","428.76","410.64","213.94M","1.50%"
"02/23/2022","421.95","432.66","433.26","421.35","132.58M","-1.77%"
"02/22/2022","429.57","431.89","435.50","425.86","124.39M","-1.07%"
"02/18/2022","434.23","437.33","438.66","431.82","132.64M","-0.65%"
"02/17/2022","437.06","443.22","446.57","436.42","102.26M","-2.14%"
"02/16/2022","446.60","443.93","448.06","441.94","84.86M","0.11%"
"02/15/2022","446.10","443.73","446.28","443.18","88.66M","1.61%"
"02/14/2022","439.02","439.92","441.60","435.34","123.01M","-0.33%"
"02/11/2022","440.46","449.41","451.61","438.94","153.21M","-1.97%"
"02/10/2022","449.32","451.34","457.71","447.20","140.10M","-1.80%"
"02/09/2022","457.54","455.22","457.88","455.00","92.59M","1.46%"
"02/08/2022","450.94","446.73","451.92","445.22","81.01M","0.82%"
"02/07/2022","447.26","449.51","450.99","445.85","84.47M","-0.32%"
"02/04/2022","448.70","446.35","452.78","443.83","118.45M","0.47%"
"02/03/2022","446.60","450.95","452.97","445.71","118.02M","-2.35%"
"02/02/2022","457.35","455.50","458.12","453.05","117.36M","0.97%"
"02/01/2022","452.95","450.68","453.63","446.94","123.16M","0.68%"
"01/31/2022","449.91","441.24","450.28","439.81","152.25M","1.80%"
"01/28/2022","441.95","432.68","442.00","427.82","164.46M","2.48%"
"01/27/2022","431.24","438.26","441.59","429.45","149.88M","-0.49%"
"01/26/2022","433.38","440.72","444.04","428.86","186.39M","-0.25%"
"01/25/2022","434.47","433.06","439.72","427.15","168.00M","-1.22%"
"01/24/2022","439.84","432.03","440.38","420.76","252.50M","0.42%"
"01/21/2022","437.98","445.56","448.06","437.95","202.27M","-1.96%"
"01/20/2022","446.75","453.75","458.74","444.50","122.38M","-1.11%"
"01/19/2022","451.75","458.13","459.61","451.46","109.36M","-1.04%"
"01/18/2022","456.49","459.74","459.96","455.31","109.87M","-1.77%"
"01/14/2022","464.72","461.19","465.09","459.90","95.89M","0.04%"
"01/13/2022","464.53","472.19","472.88","463.44","91.17M","-1.38%"
"01/12/2022","471.02","471.59","473.20","468.94","67.61M","0.27%"
"01/11/2022","469.75","465.23","469.85","462.05","74.30M","0.91%"
"01/10/2022","465.51","462.70","465.74","456.60","119.36M","-0.12%"
"01/07/2022","466.09","467.95","469.20","464.65","85.11M","-0.40%"
"01/06/2022","467.94","467.89","470.82","465.43","86.86M","-0.09%"
"01/05/2022","468.38","477.16","477.98","468.28","104.54M","-1.92%"
"01/04/2022","477.55","479.22","479.98","475.58","71.18M","-0.03%"
"01/03/2022","477.71","476.30","477.85","473.85","72.67M","0.58%"
